"Standard Name",Description,Category,Status,"Deployment Type","Approval Expiration Date"
"Atlassian Confluence (Server)","The Atlassian suite, including Jira, Confluence, Bitbucket, Bamboo, Sourcetree and other associated add-ons, is used by the Conexus project in support of project management and software development efforts. Conexus relies on this suite to track day to day efforts of agile software development and as a tool for communicating and collaborating with customers. The Atlassian suite continues to be the best option in terms of reliability, usage, and cost.","Collaboration Software",Approved,Server,2022-09-23
"Atlassian JIRA 8.x","We are upgrading GSA IT's JIRA to 8.x, in order to remediate security vulnerabilities, and that upgrade is required in order for us to obtain our ATO.  We require GEAR approval for JIRA 8.x.",DevOps,Approved,Server,2022-09-15
"Attachment Checker for Confluence","Attachment Checker for Confluence allows the Confluence admin to secure their Confluence instance by: Whitelisting / Blacklisting file types / Limiting the number of attachments per issue / Restricting attachments with duplicate file names / Scanning attachments for viruses / Notification for attachment events / Restrict user groups from downloading attachments / Log attachment downloads. Confluence administrator will install add on and configure Confluence so above features will be enabled.",Plugins/Libraries,Approved,Other,2022-08-02
"Attachment Checker for Jira","Attachment Checker for Jira allows the Jira admin to secure their Jira instance by: Whitelisting / Blacklisting file types / Limiting the number of attachments per issue / Restricting attachments with duplicate file names / Scanning attachments for viruses / Notification for attachment events / Restrict user groups from downloading attachments / Log attachment downloads.  Jira administrator will install add on and configure Jira so above features will be enabled.",Plugins/Libraries,Approved,Other,2022-08-02
"Authentication for Windows Logon and RDP","Duo offers unified access security and multi-factor authentication technology that verifies user and device trust and limits access to protected applications and other corporate information resources to trusted employees with trustworthy devices.  Duo integrates with Microsoft Windows client and server operating systems to add two-factor authentication to Remote Desktop and local logons and credentialed UAC elevation prompts.  BSN consoles are not joined a MS Windows domain, and need to be configured to support MFA. Duo Security has been chosen to meet this requirement. The Duo agent is required to support MFA for BSN consoles.","Building Automation",Approved,Desktop,2023-12-06
"Autocad 2021","Users with in PBS business lines require this software in order to complete daily work functions.  Software is users to create and modify current building CAD drawings.","CAD-Computer-Aided Design",Approved,Desktop,2022-05-12
"Autocad 2022","Users with in PBS business lines require this software in order to complete daily work functions.  Software is users to create and modify current building CAD drawings.","CAD-Computer-Aided Design",Approved,Desktop,2023-04-28
"Autocad Architecture 2020","Users with in PBS business lines require this software in order to complete daily work functions. Software is users to create and modify current building CAD drawings.","CAD-Computer-Aided Design",Approved,Desktop,2022-03-01
"Autocad Civil 3D 2021","Users with in PBS business lines require this software in order to complete daily work functions. Software is users to create and modify current building CAD drawings.","CAD-Computer-Aided Design",Approved,Desktop,2023-09-13
"Autocad Electrical 2020","Users with in PBS business lines require this software in order to complete daily work functions. Software is users to create and modify current building CAD drawings.","CAD-Computer-Aided Design",Approved,Desktop,2022-03-01
"AutoCAD Map 3D 2018","The software that's being requested is used by the SDM community. Currently the ESmart system is using map 3D 2015 and in order for it to be upgrade it needs Autodesk Map 3D 2018. AutoCAD Map 3D software provides access to GIS and mapping data to support planning, design, and data management. Intelligent models and CAD tools help you to apply regional and discipline-specific standards. Integration of GIS data with your organization helps to improve quality, productivity, and asset management.","CAD-Computer-Aided Design",Approved,Desktop,2023-01-24
"Autocad Map 3D 2020","Users with in PBS business lines require this software in order to complete daily work functions. Software is users to create and modify current building CAD drawings.","CAD-Computer-Aided Design",Approved,Desktop,2024-03-01
"Autodesk Design Review 2018 v14.0.x","Autodesk Design Review is a free viewing application that enables all members of the project team to easily view, measure, markup and print designs shared electronically. Built around the DWF file format, Design Review enables users to view and print complex 2D and 3D drawings, maps, and models published from Autodesk design applications or from the DWF Writer.","CAD-Computer-Aided Design",Approved,Desktop,2023-04-03
"AutoDesk DWG TrueView 2020","Users with in PBS business lines require this software in order to complete daily work functions. Software is users to create and modify current building CAD drawings.","CAD-Computer-Aided Design",Approved,Desktop,2024-03-01
"Autodesk MEP 2020","Users with in PBS business lines require this software in order to complete daily work functions. Software is users to create and modify current building CAD drawings.","CAD-Computer-Aided Design",Approved,Desktop,2022-03-01
